category,link,title
Office_Products,https://www.amazon.com/dp/B009NKVVWO,"Rubbermaid Commercial Products Slim Jim Trash Can Waste Bin with Venting Channels, Gray, for Kitchen/Office/Workspace, Pack of 4"
Arts_Crafts_and_Sewing,https://www.amazon.com/dp/B0C1GPVBL7,GIEMSON Embroidery Hoop 6 Inch 12 Pieces Embroidery Hoops Bamboo Circle Cross Stitch Hoop for Embroidery Art Craft Sewing
Arts_Crafts_and_Sewing,https://www.amazon.com/dp/B0FQ5VT2JX,"Craft Scissors Set of 4, Sharp Stainless Stee Blades, Comfort Grip, Scissors All purpose for Office School Home Fabric Sewing DIY Art Craft Cutting, 8.5''/7.5''/6.7''/5.5'', Pink"
Arts_Crafts_and_Sewing,https://www.amazon.com/dp/B0D56JGPQ7,"Covetree Hair Accessories Organizer with Handle, Lockable Three-Layer Multipurpose Art Supplies Storage Box and Plastic Jewelry Box, Sewing Organizer (White)"
Arts_Crafts_and_Sewing,https://www.amazon.com/dp/B0DCFFLHF5,"Ecraft Self Healing Cutting Mat 18x12 Inch A3, 5-Ply Double Sided Rotary Cutting Board with Grid, Grey/Black for Sewing, Quilting, Fabric & Craft Projects"
Arts_Crafts_and_Sewing,https://www.amazon.com/dp/B0F8R652FX,"CRAFTILOO Latch Hook Kit for Kids Rug DIY Pillow Craft with Hook, Precut Yarn, Easy to Follow Pattern Cute Designs with Rainbow Heart Ages 6+"
CDs_and_Vinyl,https://www.amazon.com/dp/1441306595,"Music Journal (Diary, Notebook)"
CDs_and_Vinyl,https://www.amazon.com/dp/B00KLBR6IC,Spotify Music
CDs_and_Vinyl,https://www.amazon.com/dp/1573300411,LIVE & LOUD
CDs_and_Vinyl,https://www.amazon.com/dp/B0C6TZJDVB,Bowling Shirts for Men Print Short Sleeve Regular Fit Hawaiian Casual Button Down Beach Shirts
CDs_and_Vinyl,https://www.amazon.com/dp/B07NKVMMW6,Ken Burns: Country Music
Patio_Lawn_and_Garden,https://www.amazon.com/dp/B0002DF7MQ,"KETTLER Sieger White Resin Lawn Chair, Premium German Made Folding Armchair, Outdoor Patio Furniture 4-Position Folding Chair"
Patio_Lawn_and_Garden,https://www.amazon.com/dp/B07YZ4LTH3,"GIGALUMI Solar Outdoor Lights,12 Pack LED Solar Lights Outdoor Waterproof, Solar Walkway Lights Maintain 10 Hours of Lighting for Your Garden, Landscape, Path, Yard, Patio, Driveway"
Patio_Lawn_and_Garden,https://www.amazon.com/dp/B0BFL49NYB,"PureFit Outdoor Sectional Sofa Cover Waterproof L Shaped Patio Furniture Covers for Deck, Lawn and Backyard, 104”x83” Right Facing, Black"
Patio_Lawn_and_Garden,https://www.amazon.com/dp/B0D3HCZ138,"Angel Garden Statue, Sitting Angel Sculpture, Resin Angel with Bird Figurine for Patio Yard Porch Lawn Outdoor Decor Home Shelf Sitter Memorial Spiritual Gifts"
Patio_Lawn_and_Garden,https://www.amazon.com/dp/B0FJFWNX52,"Solar Angel Garden Statue, Outdoor Decor, Cemetery Decorations for Grave – Praying Angel Figurines with LED Light for Outdoor Lawn, Yard, Patio Decor, Memorial Gifts for Women, Mom and Grandma"
Pet_Supplies,https://www.amazon.com/dp/B0FK52Q3FC,nooepc 6PCS Dog Washing Gloves Pet Grooming Gloves Dog Bath Supplies Dog Bath Brush Silicone Gloves for Dogs and Cats Bathing Dog Comb Dog Toothbrush
Pet_Supplies,https://www.amazon.com/dp/B0FQ9MFL42,"36PCS Hypoallergenic Pet Glove Wipes for Dogs, Cats & Small Animals | No-Rinse Deodorizing Dog Wipes for Paws, Butt, Eyes & Ears | Pet Wipes for Stain & Odor Cleanup Between Baths & Travel"
Pet_Supplies,https://www.amazon.com/dp/B0H1G3WJD7,"Upgraded Pet Hair Removal Gloves for Cats & Dogs, Five-Finger Electrostatic Reusable Magic Brush for Effortless Pet Hair Remover Tool on Carpet, Clothing, Laundry, Couch, Car Seat (Black)"
Pet_Supplies,https://www.amazon.com/dp/B0FC5N7RYX,"Best Pet Supplies Catify Cat Scratcher, Fun Interactive Scratchers, Posts, Poles, Claw Safe, Furniture Saver Indoor Play Support Natural Cat Behaviors Heavy Duty - Beige Mat - L: 78"""
